"","time","variable","value"
"1",2011 Q1,"actual",304273430.587451
"2",2011 Q2,"actual",582226417.821569
"3",2011 Q3,"actual",573291339.125859
"4",2011 Q4,"actual",354797870.333636
"5",2012 Q1,"actual",127698438.5775
"6",2012 Q2,"actual",284649778.636604
"7",2012 Q3,"actual",231503776.086104
"8",2012 Q4,"actual",317071135.889854
"9",2013 Q1,"actual",62011554.0890447
"10",2013 Q2,"actual",283575889.686845
"11",2013 Q3,"actual",339724756.786845
"12",2013 Q4,"actual",470685798.665224
"13",2014 Q1,"actual",183524844.015724
"14",2014 Q2,"actual",347108162.27777
"15",2014 Q3,"actual",310948603.360473
"16",2014 Q4,"actual",329454891.949375
"17",2015 Q1,"actual",9007396.08064286
"18",2015 Q2,"actual",213308809.445214
"19",2015 Q3,"actual",-1386962.75435714
"20",2015 Q4,"actual",18813841.4468939
"21",2016 Q1,"actual",-59744861.6520313
"22",2016 Q2,"actual",132225965.050161
"23",2016 Q3,"actual",242944856.647167
"24",2016 Q4,"actual",258958339.831833
"25",2017 Q1,"actual",69535772.3907143
"26",2011 Q1,"pred",190684135.984615
"27",2011 Q2,"pred",548516344.839356
"28",2011 Q3,"pred",409883579.686462
"29",2011 Q4,"pred",368676979.273975
"30",2012 Q1,"pred",206626008.119646
"31",2012 Q2,"pred",439588899.91878
"32",2012 Q3,"pred",304389955.245449
"33",2012 Q4,"pred",402622495.684797
"34",2013 Q1,"pred",106986031.49643
"35",2013 Q2,"pred",277019579.001415
"36",2013 Q3,"pred",375690954.367832
"37",2013 Q4,"pred",359210136.215172
"38",2014 Q1,"pred",160495904.65931
"39",2014 Q2,"pred",283610497.100264
"40",2014 Q3,"pred",322564006.98304
"41",2014 Q4,"pred",327519536.75213
"42",2015 Q1,"pred",84360149.8057164
"43",2015 Q2,"pred",171715101.555642
"44",2015 Q3,"pred",137289370.997372
"45",2015 Q4,"pred",138961798.089701
"46",2016 Q1,"pred",-64432540.0676008
"47",2016 Q2,"pred",122644600.502705
"48",2016 Q3,"pred",147208501.971935
"49",2016 Q4,"pred",152790932.101042
"50",2017 Q1,"pred",11586884.0909287
